ID,Name,Designator,Footprint,Quantity,Location,Source
1,100pF,"C10,C17",C0805,2,BACK,
2,47k,"R3,R11,R10,R9,R2,R4",R0805,6,BACK,
3,100k,"R62,R12,R8,R5,R1,R61",R0805,6,BACK,
4,680k,"R7,R6",R0805,2,BACK,
5,1N4148W,"D2,D1",SOD-80_L3.5-W1.5-FD,2,BACK,
6,CD40106BM,U3,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,BACK,
7,EURO_POWER_LOCK,G$4,EURO_PWR_HEADER_LOCK,1,BACK,
8,78L10,U18,TO92/,1,BACK,
9,LM339N/NOPB,U1,SOIC14,1,BACK,
10,HEADER-MALE-1.27_1X6,"P2,P1",HDR-TH_6P-P1.27-V,2,BACK,https://www.mouser.com/ProductDetail/855-M50-3530842
11,.33uF,"C4,C5",C0805,2,BACK,
12,.1uF,"C6,C7, C8,C3",C0805,4,BACK,
13,1k,"R13,R14",R0805,2,BACK,
14,LM78L05ACZXA,U19,TO92/,1,BACK,
15,1uF,"C2,C1",C0805,2,BACK,
17,10nF,"C11,C12",C0805,2,BACK,
18,1N5817,"D10,D3",DO-41,2,BACK,
19,10uF,"C9,C16",CAP-D5.0XF2.0,2,BACK,
1,1k,"R21,R28,R25,R22",R0805,4,FRONT,
2,100K,"R29,R20",R0805,2,FRONT,
3,B100K Song Huei Tall Trimmer,"VR4,VR3",9MM_SNAP-IN_POT-2HP,2,FRONT,
4,Thonkiconn,"U1, U2, U3, U4, U5, U6",THONKICONN-TIGHT,6,FRONT,
10,HEADER-FEMALE-1.27_1X6,"P1,P2",HDR-TH_6P-P1.27-V,2,FRONT,https://www.mouser.com/ProductDetail/855-M50-3030642
24,aluminum spacer,,,1,,https://www.aluminumspacers.com/as13-256-240
25,2-56 screw,,,2,,